PRODUCT;PRICE
AUSTIN RED;9 €
CAMEL YELLOW S;11 €
CAMEL YELLOW EXTRA LANG;11.3 €
CAMEL BLUE S;11 €
CAMEL COMPACT;7.3 €
CAMEL LEGEND YELLOW;10.5 €
CAMEL LEGEND BLUE;10.5 €
CHESTERFIELD RED;10.5 €
CORSET LILAS (SUPERSLIM);9.8 €
CORSET PINK (SUPERSLIM);9.8 €
ELIXYR RED;9.8 €
FORTUNA ORIGINAL;9.7 €
JPS BLUE;10 €
JPS RED;10 €
JPS RED EXTRA LANG;9.9 €
KARELIA S ORIGINAL (SUPERSLIM);9.5 €
KENT WHITE;9 €
KENT SILVER;11 €
KENT SURROUND BROWN;11.5 €
KENT SURROUND LONG;11.5 €
L&M BLUE;11 €
L&M ORIGINAL;11 €
LUCKIES AUTHENTIC RED;10.5 €
LUCKIES AUTHENTIC BLUE;10.5 €
LUCKY STRIKE RED;10.5 €
MADEMOISELLE LA ROSE (SUPERSLIM);8.3 €
MADEMOISELLE LA BLEUE (SUPERSLIM);8.3 €
MARSHAL RED;9 €
MARLBORO MIX;11.5 €
MARLBORO GOLD S;11.5 €
MARLBORO GOLD EXTRA LANG;12 €
MARLBORO RED S;11.5 €
MARLBORO RED EXTRA LANG;12 €
MARLBORO CRAFTED RED;10.5 €
MARLBORI CRAFTED GOLD;10.5 €
NEXT ORIGINAL;10 €
PALL MALL BLUE;10 €
PALL MALL RED;10 €
PALL MALL RED EXTRA LANG;10.3 €
VOGUE ESSENTIELLE (SUPERSLIM);11 €
VOGUE BLUE (SUPERSLIM);11 €
WINSTON BLUE;10.5 €
WINSTON RED;10.5 €
